Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   72 |  0.1726    |   0.0661   |  98.12%  |   0.0188   |  0.9921   | 0.8631 |   0.9990    | 0.9798 | 0.0010 | 0.1369 |  0.9231  | 0.9231
   73 |  0.1731    |   0.0680   |  97.90%  |   0.0210   |  0.9921   | 0.8488 |   0.9990    | 0.9773 | 0.0010 | 0.1512 |  0.9148  | 0.9148
   74 |  0.1701    |   0.0704   |  97.86%  |   0.0214   |  0.9956   | 0.8433 |   0.9994    | 0.9764 | 0.0006 | 0.1567 |  0.9131  | 0.9131
   75 |  0.1663    |   0.0669   |  98.03%  |   0.0197   |  0.9921   | 0.8569 |   0.9990    | 0.9788 | 0.0010 | 0.1431 |  0.9196  | 0.9196
   76 |  0.1679    |   0.0657   |  98.02%  |   0.0198   |  0.9973   | 0.8522 |   0.9997    | 0.9780 | 0.0003 | 0.1478 |  0.9191  | 0.9191
   77 |  0.1627    |   0.0670   |  98.09%  |   0.0191   |  0.9929   | 0.8600 |   0.9991    | 0.9794 | 0.0009 | 0.1400 |  0.9217  | 0.9217
   78 |  0.1615    |   0.0657   |  98.19%  |   0.0181   |  0.9973   | 0.8630 |   0.9997    | 0.9799 | 0.0003 | 0.1370 |  0.9253  | 0.9253
   79 |  0.1602    |   0.0662   |  97.95%  |   0.0205   |  0.9921   | 0.8517 |   0.9990    | 0.9779 | 0.0010 | 0.1483 |  0.9166  | 0.9166
   80 |  0.1614    |   0.0636   |  97.89%  |   0.0211   |  0.9929   | 0.8469 |   0.9991    | 0.9771 | 0.0009 | 0.1531 |  0.9141  | 0.9141
   81 |  0.1574    |   0.0635   |  98.06%  |   0.0194   |  0.9921   | 0.8588 |   0.9990    | 0.9791 | 0.0010 | 0.1412 |  0.9206  | 0.9206
