Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   50 |  0.1488    |   0.0638   |  97.94%  |   0.0206   |  0.9912   | 0.8522 |   0.9988    | 0.9779 | 0.0012 | 0.1478 |  0.9165  | 0.9165
   51 |  0.1486    |   0.0701   |  97.65%  |   0.0235   |  0.9920   | 0.8325 |   0.9990    | 0.9745 | 0.0010 | 0.1675 |  0.9053  | 0.9053
   52 |  0.1443    |   0.0645   |  97.90%  |   0.0210   |  0.9903   | 0.8496 |   0.9987    | 0.9776 | 0.0013 | 0.1504 |  0.9146  | 0.9146
   53 |  0.1432    |   0.0652   |  97.88%  |   0.0212   |  0.9877   | 0.8503 |   0.9984    | 0.9777 | 0.0016 | 0.1497 |  0.9139  | 0.9139
   54 |  0.1415    |   0.0646   |  98.03%  |   0.0197   |  0.9920   | 0.8566 |   0.9990    | 0.9788 | 0.0010 | 0.1434 |  0.9194  | 0.9194
   55 |  0.1404    |   0.0635   |  98.07%  |   0.0193   |  0.9860   | 0.8644 |   0.9982    | 0.9800 | 0.0018 | 0.1356 |  0.9212  | 0.9212
   56 |  0.1359    |   0.0599   |  98.08%  |   0.0192   |  0.9894   | 0.8621 |   0.9986    | 0.9797 | 0.0014 | 0.1379 |  0.9214  | 0.9214
   57 |  0.1387    |   0.0611   |  97.98%  |   0.0202   |  0.9947   | 0.8516 |   0.9993    | 0.9779 | 0.0007 | 0.1484 |  0.9176  | 0.9176
   58 |  0.1369    |   0.0641   |  98.01%  |   0.0199   |  0.9929   | 0.8544 |   0.9991    | 0.9785 | 0.0009 | 0.1456 |  0.9185  | 0.9185
   59 |  0.1321    |   0.0649   |  97.87%  |   0.0213   |  0.9956   | 0.8436 |   0.9994    | 0.9766 | 0.0006 | 0.1564 |  0.9133  | 0.9133
   60 |  0.1315    |   0.0659   |  97.87%  |   0.0213   |  0.9903   | 0.8475 |   0.9987    | 0.9772 | 0.0013 | 0.1525 |  0.9134  | 0.9134
