Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   55 |  0.1545    |   0.0756   |  97.51%  |   0.0249   |  0.9877   | 0.8270 |   0.9984    | 0.9735 | 0.0016 | 0.1730 |  0.9002  | 0.9002
   56 |  0.1512    |   0.0794   |  97.61%  |   0.0239   |  0.9860   | 0.8348 |   0.9982    | 0.9748 | 0.0018 | 0.1652 |  0.9041  | 0.9041
   57 |  0.1541    |   0.0746   |  97.64%  |   0.0236   |  0.9877   | 0.8353 |   0.9984    | 0.9749 | 0.0016 | 0.1647 |  0.9051  | 0.9051
   58 |  0.1489    |   0.0830   |  97.37%  |   0.0263   |  0.9903   | 0.8165 |   0.9987    | 0.9716 | 0.0013 | 0.1835 |  0.8950  | 0.8950
   59 |  0.1483    |   0.0796   |  97.43%  |   0.0257   |  0.9894   | 0.8209 |   0.9986    | 0.9724 | 0.0014 | 0.1791 |  0.8973  | 0.8973
   60 |  0.1485    |   0.0784   |  97.43%  |   0.0257   |  0.9903   | 0.8204 |   0.9987    | 0.9723 | 0.0013 | 0.1796 |  0.8974  | 0.8974
   61 |  0.1424    |   0.0748   |  97.43%  |   0.0257   |  0.9886   | 0.8219 |   0.9985    | 0.9725 | 0.0015 | 0.1781 |  0.8976  | 0.8976
   62 |  0.1456    |   0.0755   |  97.55%  |   0.0245   |  0.9912   | 0.8271 |   0.9988    | 0.9735 | 0.0012 | 0.1729 |  0.9017  | 0.9017
   63 |  0.1460    |   0.0706   |  97.76%  |   0.0224   |  0.9894   | 0.8414 |   0.9986    | 0.9761 | 0.0014 | 0.1586 |  0.9095  | 0.9095
   64 |  0.1397    |   0.0749   |  97.40%  |   0.0260   |  0.9886   | 0.8200 |   0.9985    | 0.9721 | 0.0015 | 0.1800 |  0.8964  | 0.8964
   65 |  0.1388    |   0.0739   |  97.57%  |   0.0243   |  0.9886   | 0.8301 |   0.9985    | 0.9740 | 0.0015 | 0.1699 |  0.9024  | 0.9024
   66 |  0.1400    |   0.0731   |  97.83%  |   0.0217   |  0.9912   | 0.8445 |   0.9988    | 0.9767 | 0.0012 | 0.1555 |  0.9120  | 0.9120
   67 |  0.1371    |   0.0745   |  97.67%  |   0.0233   |  0.9843   | 0.8396 |   0.9979    | 0.9757 | 0.0021 | 0.1604 |  0.9062  | 0.9062
   68 |  0.1346    |   0.0655   |  97.82%  |   0.0218   |  0.9903   | 0.8448 |   0.9987    | 0.9766 | 0.0013 | 0.1552 |  0.9118  | 0.9118
   69 |  0.1346    |   0.0709   |  97.66%  |   0.0234   |  0.9912   | 0.8335 |   0.9988    | 0.9747 | 0.0012 | 0.1665 |  0.9055  | 0.9055
   70 |  0.1325    |   0.0637   |  97.98%  |   0.0202   |  0.9921   | 0.8537 |   0.9990    | 0.9782 | 0.0010 | 0.1463 |  0.9177  | 0.9177
   71 |  0.1341    |   0.0651   |  97.96%  |   0.0204   |  0.9903   | 0.8537 |   0.9987    | 0.9782 | 0.0013 | 0.1463 |  0.9169  | 0.9169
   72 |  0.1290    |   0.0714   |  97.75%  |   0.0225   |  0.9912   | 0.8393 |   0.9988    | 0.9758 | 0.0012 | 0.1607 |  0.9089  | 0.9089
   73 |  0.1285    |   0.0666   |  97.95%  |   0.0205   |  0.9895   | 0.8538 |   0.9986    | 0.9782 | 0.0014 | 0.1462 |  0.9166  | 0.9166
   74 |  0.1258    |   0.0674   |  97.88%  |   0.0212   |  0.9947   | 0.8451 |   0.9993    | 0.9768 | 0.0007 | 0.1549 |  0.9138  | 0.9138
   75 |  0.1274    |   0.0660   |  97.95%  |   0.0205   |  0.9921   | 0.8517 |   0.9990    | 0.9779 | 0.0010 | 0.1483 |  0.9166  | 0.9166
   76 |  0.1243    |   0.0672   |  97.85%  |   0.0215   |  0.9929   | 0.8445 |   0.9991    | 0.9767 | 0.0009 | 0.1555 |  0.9127  | 0.9127
   77 |  0.1222    |   0.0693   |  97.80%  |   0.0220   |  0.9886   | 0.8446 |   0.9985    | 0.9766 | 0.0015 | 0.1554 |  0.9109  | 0.9109
   78 |  0.1279    |   0.0609   |  98.03%  |   0.0197   |  0.9911   | 0.8567 |   0.9988    | 0.9789 | 0.0012 | 0.1433 |  0.9190  | 0.9190
   79 |  0.1253    |   0.0675   |  97.72%  |   0.0228   |  0.9886   | 0.8394 |   0.9985    | 0.9757 | 0.0015 | 0.1606 |  0.9079  | 0.9079
   80 |  0.1242    |   0.0605   |  98.03%  |   0.0197   |  0.9903   | 0.8579 |   0.9987    | 0.9790 | 0.0013 | 0.1421 |  0.9194  | 0.9194
   81 |  0.1185    |   0.0623   |  97.94%  |   0.0206   |  0.9886   | 0.8541 |   0.9985    | 0.9782 | 0.0015 | 0.1459 |  0.9165  | 0.9165
   82 |  0.1176    |   0.0599   |  98.05%  |   0.0195   |  0.9877   | 0.8617 |   0.9984    | 0.9796 | 0.0016 | 0.1383 |  0.9204  | 0.9204
   83 |  0.1179    |   0.0653   |  97.92%  |   0.0208   |  0.9938   | 0.8484 |   0.9992    | 0.9773 | 0.0008 | 0.1516 |  0.9154  | 0.9154
   84 |  0.1183    |   0.0617   |  98.03%  |   0.0197   |  0.9886   | 0.8595 |   0.9985    | 0.9792 | 0.0015 | 0.1405 |  0.9196  | 0.9196
   85 |  0.1150    |   0.0644   |  97.88%  |   0.0212   |  0.9903   | 0.8485 |   0.9987    | 0.9773 | 0.0013 | 0.1515 |  0.9140  | 0.9140
   86 |  0.1161    |   0.0588   |  98.06%  |   0.0194   |  0.9938   | 0.8575 |   0.9992    | 0.9789 | 0.0008 | 0.1425 |  0.9206  | 0.9206
   87 |  0.1164    |   0.0650   |  97.90%  |   0.0210   |  0.9938   | 0.8471 |   0.9992    | 0.9771 | 0.0008 | 0.1529 |  0.9146  | 0.9146
   88 |  0.1146    |   0.0608   |  97.99%  |   0.0201   |  0.9938   | 0.8530 |   0.9992    | 0.9781 | 0.0008 | 0.1470 |  0.9181  | 0.9181
   89 |  0.1138    |   0.0563   |  98.12%  |   0.0188   |  0.9929   | 0.8621 |   0.9991    | 0.9797 | 0.0009 | 0.1379 |  0.9229  | 0.9229
   90 |  0.1129    |   0.0597   |  98.10%  |   0.0190   |  0.9938   | 0.8599 |   0.9992    | 0.9794 | 0.0008 | 0.1401 |  0.9220  | 0.9220
   91 |  0.1140    |   0.0604   |  98.09%  |   0.0191   |  0.9894   | 0.8626 |   0.9986    | 0.9798 | 0.0014 | 0.1374 |  0.9217  | 0.9217
   92 |  0.1111    |   0.0572   |  98.26%  |   0.0174   |  0.9956   | 0.8694 |   0.9994    | 0.9809 | 0.0006 | 0.1306 |  0.9282  | 0.9282
   93 |  0.1130    |   0.0583   |  98.15%  |   0.0185   |  0.9895   | 0.8671 |   0.9986    | 0.9805 | 0.0014 | 0.1329 |  0.9243  | 0.9243
   94 |  0.1092    |   0.0590   |  98.08%  |   0.0192   |  0.9878   | 0.8638 |   0.9984    | 0.9799 | 0.0016 | 0.1362 |  0.9216  | 0.9216
   95 |  0.1099    |   0.0595   |  98.19%  |   0.0181   |  0.9938   | 0.8661 |   0.9992    | 0.9804 | 0.0008 | 0.1339 |  0.9255  | 0.9255
   96 |  0.1095    |   0.0585   |  98.09%  |   0.0191   |  0.9930   | 0.8604 |   0.9991    | 0.9794 | 0.0009 | 0.1396 |  0.9219  | 0.9219
