Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   53 |  0.1156    |   0.0565   |  98.28%  |   0.0172   |  0.9921   | 0.8736 |   0.9990    | 0.9816 | 0.0010 | 0.1264 |  0.9291  | 0.9291
   54 |  0.1122    |   0.0569   |  98.10%  |   0.0190   |  0.9921   | 0.8619 |   0.9990    | 0.9796 | 0.0010 | 0.1381 |  0.9224  | 0.9224
   55 |  0.1118    |   0.0573   |  98.10%  |   0.0190   |  0.9921   | 0.8614 |   0.9990    | 0.9796 | 0.0010 | 0.1386 |  0.9221  | 0.9221
   56 |  0.1092    |   0.0532   |  98.26%  |   0.0174   |  0.9904   | 0.8739 |   0.9987    | 0.9816 | 0.0013 | 0.1261 |  0.9285  | 0.9285
   57 |  0.1118    |   0.0543   |  98.21%  |   0.0179   |  0.9938   | 0.8674 |   0.9992    | 0.9806 | 0.0008 | 0.1326 |  0.9263  | 0.9263
   58 |  0.1105    |   0.0541   |  98.13%  |   0.0187   |  0.9929   | 0.8623 |   0.9991    | 0.9798 | 0.0009 | 0.1377 |  0.9230  | 0.9230
   59 |  0.1106    |   0.0526   |  98.30%  |   0.0170   |  0.9886   | 0.8781 |   0.9985    | 0.9823 | 0.0015 | 0.1219 |  0.9301  | 0.9301
   60 |  0.1065    |   0.0545   |  98.18%  |   0.0182   |  0.9938   | 0.8654 |   0.9992    | 0.9803 | 0.0008 | 0.1346 |  0.9252  | 0.9252
   61 |  0.1072    |   0.0503   |  98.37%  |   0.0163   |  0.9930   | 0.8793 |   0.9991    | 0.9825 | 0.0009 | 0.1207 |  0.9327  | 0.9327
   62 |  0.1038    |   0.0508   |  98.33%  |   0.0167   |  0.9956   | 0.8742 |   0.9994    | 0.9817 | 0.0006 | 0.1258 |  0.9310  | 0.9310
   63 |  0.1023    |   0.0472   |  98.42%  |   0.0158   |  0.9912   | 0.8843 |   0.9989    | 0.9833 | 0.0011 | 0.1157 |  0.9347  | 0.9347
   64 |  0.1029    |   0.0505   |  98.35%  |   0.0165   |  0.9938   | 0.8773 |   0.9992    | 0.9822 | 0.0008 | 0.1227 |  0.9320  | 0.9320
   65 |  0.1044    |   0.0517   |  98.33%  |   0.0167   |  0.9912   | 0.8779 |   0.9989    | 0.9823 | 0.0011 | 0.1221 |  0.9311  | 0.9311
   66 |  0.1038    |   0.0479   |  98.46%  |   0.0154   |  0.9921   | 0.8862 |   0.9990    | 0.9836 | 0.0010 | 0.1138 |  0.9362  | 0.9362
   67 |  0.0993    |   0.0540   |  98.28%  |   0.0172   |  0.9903   | 0.8751 |   0.9987    | 0.9818 | 0.0013 | 0.1249 |  0.9292  | 0.9292
   68 |  0.1007    |   0.0491   |  98.48%  |   0.0152   |  0.9956   | 0.8848 |   0.9994    | 0.9834 | 0.0006 | 0.1152 |  0.9369  | 0.9369
   69 |  0.0983    |   0.0492   |  98.44%  |   0.0156   |  0.9895   | 0.8870 |   0.9986    | 0.9837 | 0.0014 | 0.1130 |  0.9354  | 0.9354
   70 |  0.0997    |   0.0461   |  98.51%  |   0.0149   |  0.9938   | 0.8884 |   0.9992    | 0.9840 | 0.0008 | 0.1116 |  0.9381  | 0.9381
   71 |  0.0977    |   0.0471   |  98.55%  |   0.0145   |  0.9921   | 0.8925 |   0.9990    | 0.9847 | 0.0010 | 0.1075 |  0.9397  | 0.9397
   72 |  0.0955    |   0.0493   |  98.40%  |   0.0160   |  0.9895   | 0.8840 |   0.9986    | 0.9833 | 0.0014 | 0.1160 |  0.9338  | 0.9338
   73 |  0.0944    |   0.0475   |  98.59%  |   0.0141   |  0.9947   | 0.8931 |   0.9993    | 0.9848 | 0.0007 | 0.1069 |  0.9412  | 0.9412
   74 |  0.0955    |   0.0440   |  98.43%  |   0.0157   |  0.9947   | 0.8818 |   0.9993    | 0.9830 | 0.0007 | 0.1182 |  0.9349  | 0.9349
   75 |  0.0942    |   0.0446   |  98.48%  |   0.0152   |  0.9947   | 0.8854 |   0.9993    | 0.9835 | 0.0007 | 0.1146 |  0.9369  | 0.9369
   76 |  0.0924    |   0.0447   |  98.50%  |   0.0150   |  0.9965   | 0.8855 |   0.9995    | 0.9835 | 0.0005 | 0.1145 |  0.9377  | 0.9377
   77 |  0.0907    |   0.0455   |  98.56%  |   0.0144   |  0.9930   | 0.8927 |   0.9991    | 0.9847 | 0.0009 | 0.1073 |  0.9401  | 0.9401
   78 |  0.0927    |   0.0476   |  98.45%  |   0.0155   |  0.9938   | 0.8837 |   0.9992    | 0.9833 | 0.0008 | 0.1163 |  0.9356  | 0.9356
